MA-L,002618,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
MA-L,049226,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,1831BF,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,88D7F6,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,6045CB,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,9C5C8E,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,00E018,ASUSTek COMPUTER INC.,"150 LI-TE RD. PEITOU, TAIPEI  TW 77777 "
MA-L,000C6E,ASUSTek COMPUTER INC.,"150, Li-Te Rd., PeiTou Taipei  TW 112 "
MA-L,000EA6,ASUSTek COMPUTER INC.,"150, Li-Te Rd., PeiTou Taipei  TW 112 "
MA-L,001D60,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
MA-L,0015F2,ASUSTek COMPUTER INC.,"No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan Taipei  TW 333 "
MA-L,90E6BA,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
MA-L,F46D04,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou, Taipei  TW 112 "
MA-L,54A050,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,10C37B,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,E03F49,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,107C61,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,CC28AA,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,A036BC,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,A85E45,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,04D4C4,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,B06EBF,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,38D547,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,0018F3,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
